key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id,PDF files
rayyan-208106498,Sensitivity of copepod populations to bottom-up and top-down forcing: a modeling study in the Gulf of Maine region,2013,1,,JOURNAL OF PLANKTON RESEARCH,0142-7873,35,1,66-79,"Ji, Rubao and Stegert, Christoph and Davis, Cabell S.",,English,OXFORD UNIV PRESS,"GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND",,"",10.1093/plankt/fbs070,plankton; copepods; modeling; top-down; bottom-up; Pseudocalanus; Centropages,,,""
rayyan-208106500,"Bottom-up and top-down effects on phytoplankton functional groups in Hulun Lake, China",2021,1,,ANNALES DE LIMNOLOGIE-INTERNATIONAL JOURNAL OF LIMNOLOGY,0003-4088,57,,,"Ma, Chengxue and Zhao, Chang and Mwagona, Patteson Chula and Li, Ziyu and Liu, Zixuan and Dou, Huashan and Zhou, Xuehong and Bhadha, Jehangir H.",,English,EDP SCIENCES S A,"17, AVE DU HOGGAR, PA COURTABOEUF, BP 112, F-91944 LES ULIS CEDEX A, FRANCE",,"",10.1051/limn/2020028,Phytoplankton; zooplankton; bottom-up; top-down; functional group,,,""
rayyan-208106501,Relative importance of top-down vs. bottom-up control of lake phytoplankton vertical distributions varies among fluorescence-based spectral groups,2020,10,,LIMNOLOGY AND OCEANOGRAPHY,0024-3590,65,10,2485-2501,"Lofton, Mary E. and Leach, Taylor H. and Beisner, Beatrix E. and Carey, Cayelan C.",,English,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",,"",10.1002/lno.11465,"",,,""
rayyan-208106503,Interaction between top-down and bottom-up control in marine food webs,2017,2,,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0027-8424,114,8,1952-1957,"Lynam, Christopher Philip and Llope, Marcos and Moellmann, Christian and Helaoutet, Pierre and Bayliss-Brown, Georgia Anne and Stenseth, Nils C.",,English,NATL ACAD SCIENCES,"2101 CONSTITUTION AVE NW, WASHINGTON, DC 20418 USA",,"",10.1073/pnas.1621037114,trophic control; ecosystem modeling; marine food web functioning; wasp-waist; regime shifts,,,""
rayyan-208106504,Bottom-up and top-down effects on phytoplankton communities in two freshwater lakes,2020,4,,PLOS ONE,1932-6203,15,4,,"Li, Yanran and Meng, Jiao and Zhang, Chao and Ji, Shuping and Kong, Qiang and Wang, Renqing and Liu, Jian",,English,PUBLIC LIBRARY SCIENCE,"1160 BATTERY STREET, STE 100, SAN FRANCISCO, CA 94111 USA",,"",10.1371/journal.pone.0231357,"",,,""
rayyan-208106507,"Determinants of phytoplankton size structure in warm, shallow lakes",2021,5,,JOURNAL OF PLANKTON RESEARCH,0142-7873,43,3,353-366,"Erdogan, Seyda and Beklioglu, Meryem and Litchman, Elena and Miller, Elizabeth T. and Levi, Eti E. and Bucak, Tuba and Tavsanoglu, Ulku Nihan",,English,OXFORD UNIV PRESS,"GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND",,"",10.1093/plankt/fbab035,phytoplankton mean size; phytoplankton size variance; structural equation modeling; rotifers; tro...,,,""
rayyan-208106515,The paradox of re-oligotrophication: the role of bottom-up versus top-down controls on the phytoplankton community,2019,11,,OIKOS,0030-1299,128,11,1666-1677,"Anneville, Orlane and Chang, Chun-Wei and Dur, Gael and Souissi, Sami and Rimet, Frederic and Hsieh, Chih-hao",,English,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",,"",10.1111/oik.06399,eutrophication; food-webs; functional groups; global changes; lakes; long-term changes; phytoplan...,,,Anneville et al 2019.pdf
rayyan-208106518,Can top-down and bottom-up forces explain phytoplankton structure in a subtropical and shallow groundwater-connected lake?,2015,,,MARINE AND FRESHWATER RESEARCH,1323-1650,66,12,1106-1115,"Frau, Diego and Devercelli, Melina and Jose de Paggi, Susana and Scarabotti, Pablo and Mayora, Gisela and Battauz, Yamila and Senn, Mariana",,English,CSIRO PUBLISHING,"UNIPARK, BLDG 1, LEVEL 1, 195 WELLINGTON RD, LOCKED BAG 10, CLAYTON, VIC 3168, AUSTRALIA",,"",10.1071/MF14177,control factors; floodplain lakes; hydrological connectivity; plankton,,,""
rayyan-208106519,Driving forces shaping phytoplankton assemblages in two subtropical plateau lakes with contrasting trophic status,2007,8,,FRESHWATER BIOLOGY,0046-5070,52,8,1463-1475,"Zhang, Xia and Xie, Ping and Chen, Feizhou and Li, Sixin and Qin, Jianhui",,English,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",,"",10.1111/j.1365-2427.2007.01776.x,bottom-up controls; canonical correspondence analysis; functional associations; linked lakes; tro...,,,""
rayyan-208106529,Different Roles of Top-Down and Bottom-Up Processes in the Distribution of Size-Fractionated Phytoplankton in Gwangyang Bay,2021,6,,WATER,,13,12,,"Kang, Yoonja and Oh, Yeongji",,English,MDPI,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",,"",10.3390/w13121682,top-down effect; bottom-up effect; phytoplankton bloom; flow cytometry; estuary; Gwangyang Bay,,,""
