"study","ecosystem","top_bottom_both","phyto_func_response","func_group_type","zoo","fish","microbes","location","study_type","experimental_design","manipulation","coordinates","spatial extent_km","temporal duration","trophic state","importance_td_vs_bu","zoop_func_response","notes","include","reviewer","year"
"Acevedo-Trejos et al 2018","marine",3,1,"morphological",1,0,0,"Atlantic Ocean","field, model","in situ, in silico","NA","NA","10X10 degree regions","1 year","NA",NA,0,"I'm conflicted on this one they talk about size structure as a phytoplankton community property and the response variables are all specific to the overall community, but size is a morphological functional trait (update keeping ones like this because they do have a functional group approach even if it's not the focus of the paper)","y","Heather",2018
"Acevedo-Trejos et al 2018","marine",3,1,"morphological",1,0,0,"Atlantic Meridional Transect","model","in situ, in silico",NA,"NA","NA","September-October 1996, April - May 1997",NA,NA,0,"Focuses on different size classes of phytoplankton etc.","y","Britt",2018
"Acevedo-Trejos et al 2018","marine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"They do not mention top-down or bottom-up in abstract. Talk about trait-based and functional biogeography? Unsure about this one but was conservative and said no.","n","Britt",2018
"Alvarez-Cobelas et al 2006","freshwater",3,1,"physiological",1,0,1,"central Spain","field","in situ","NA","40◦18'N,  3◦31'W","3.5 ha","3 months","mesotrophic",NA,1,NA,"y","Heather",2006
"Alvarez-Cobelas et al 2006","freshwater",1,1,"physiological",1,0,1,"Las Madres Lake, Spain.","field","in situ","NA","40◦18 N, 3◦31 W","1 lake","Sept. 16 - Dec. 17, 1991.","mesotrophic","td",1,"focused again on zoop, measured phyto to study feeding bahavior. Could use data if necessary even if phyto arent explicitely the main focus","Maybe","Emmy",2006
"Armengol et al 2017","marine",3,1,"taxonomic, morphological",1,0,1,"north of Grand Canaria, Canary Islands","lab","experiment","predators","NA","NA","24 hours","oligotrophic","td",0,NA,"y","Heather",2017
"Armengol et al 2017","marine",1,1,"taxonomic",1,0,1,"Coastal Canary Islands","field","experiment","NA","NA","NA","1 day","oligotrophic","td",0,"NA","y","Britt",2017
"Armengol et al 2017","marine",1,1,"taxonomic",1,0,0,"oceanic waters to the north of Gran Canaria, Canary Islands","field","in situ","predation","NA","bottle incubations","24 hrs","NA","td",1,"Copepod grazing on phytoplankton groups","y","Britt",2017
"Arnold et al 2009","marine",3,1,"taxonomic",0,0,0,"None","model","none","none","none","NA","NA","NA",NA,0,"We use new satellite
observations of phytoplankton functional type (PFT) in the
global oceans coupled with laboratory culture measurements
of phytoplankton isoprene productivity to scale up a global
isoprene emission estimate.","yes","Anika",2009
"Arnold et al 2009","marine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Again not a large focus on phtyoplankton and there are no functional groups they just report isoprene production rate for different phyla once...","n","Britt",2009
"Bhele et al 2022","freshwater",3,1,"morphological",1,1,1,"Lake Võrtsjärv, Estonia","model","none","NA","NA","NA","36 years (1983–2018)","NA",NA,0,"EXCLUDE - Functional groups are defined for all organisms groups from detritus to different fish groups; phytoplankton is present in two groups (small and large phytoplankton)","no","Anika",2022
